ID,Tier,Variant,Utterance,Tests,Expected_Components,Expected_Utilities,Expected_Icons,Key_Validation_Points,Success_Criteria,Accessibility_Requirements,Common_Failure_Modes,Complexity
C15,Tier 3,Detailed,"Create an employee data table with Name column (read-only text, using appropriate width from sizing utilities), Department column (editable dropdown with 4 options: Sales, Engineering, Marketing, Support, appropriate width), Salary column (editable currency format, appropriate width), and Status column (badges using semantic colors - Active uses success, Inactive uses error, appropriate width). Include 10 employee rows. Implement inline editing: double-click cell to show input or dropdown, Enter saves changes, ESC cancels editing. Save button appears when any edits are pending. Edited cells should highlight using appropriate feedback colors until saved",Complete editable table,Datatable with comprehensive inline edit,"slds-table, slds-badge, slds-cell-edit",,"Columns 30-25-25-20%, Department dropdown 4 options editable, Salary currency editable, Status badges exact colors, double-click edit, Enter saves ESC cancels, save button appears, edited yellow","Columns 30-25-25-20%, Name read-only, Department inline edit dropdown with 4 options, Salary inline edit currency format, Status badges Active Inactive , 10 rows, double-click enters edit mode, Enter saves ESC cancels, Save button appears when editing, edited cells background until saved","Table accessible, inline edit keyboard operable (double-click alternative), edit mode announced, Enter/ESC handling announced, Save button accessible","Column widths wrong, Department not dropdown or missing options, Salary not currency, Status colors wrong/hardcoded, double-click not working, Enter/ESC not working, Save button missing, edited cells not highlighting, ARIA incomplete",Advanced
C16,Tier 3,Simple,"Create filter sidebar with search, date range, checkboxes, apply button","Filter panel, multiple inputs",Sidebar with form inputs,slds-panel,utility:search,Sidebar shows various filter inputs,"Filter panel with search, date inputs, checkboxes, apply button",Filters accessible,"Inputs missing, apply button missing",Advanced
C16,Tier 3,Moderate,"Filter sidebar: search input, date range picker (start/end), price range slider (min/max), category checkboxes (5 options), Apply Filters button. Show active filter count badge",Complex filter panel with badge,"Various inputs, custom slider, badge","slds-form_stacked, slds-panel","utility:search, utility:filterList","All filter types present, badge shows count","Sidebar with search, date range, price slider, checkboxes, apply button, badge shows active count","All filters keyboard accessible, slider keyboard controlled, count announced","Slider not working, badge wrong count, keyboard broken",Advanced
C16,Tier 3,Detailed,"Create a filter sidebar using standard SLDS sidebar width in fixed position. Include search input at standard height, date range section with two date inputs at standard height each, price range slider with custom handles and track using appropriate sizing (range $0-$1000 with values displayed above handles), category checkboxes (5 options in vertical stack with proper spacing between each using SLDS spacing utilities). Apply Filters button should be full width using brand styling at standard button height. Active filter count badge should use appropriate badge sizing with brand background and contrasting text, positioned at button top-right. Sidebar should use surface background colors with right border from SLDS border utilities",Complete filter panel,Complex filter sidebar,"slds-form_stacked, slds-panel","utility:search, utility:filterList","Width standard dimensions from SLDS fixed, search standard size from SLDS, dates standard size from SLDS each, slider: handles standard size from SLDS track standard size from SLDS range $0-$1000 values above, checkboxes standard size from SLDS vertical, Apply 100% × standard size from SLDS brand, badge standard size from SLDS circle blue white top-right, sidebar bg border-right standard size from SLDS","Sidebar width standard dimensions from SLDS position fixed, search height standard size from SLDS, date inputs standard size from SLDS, price slider: handles standard size from SLDS circles track standard size from SLDS height range 0-1000 values display above handles, checkboxes standard size from SLDS height stacked, Apply width 100% height standard size from SLDS brand, badge standard size from SLDS diameter circle brand background white text positioned absolute top-right, sidebar background border-right standard size from SLDS","Sidebar keyboard accessible, search announces results, date picker accessible, slider keyboard draggable with arrow keys announces values, checkboxes keyboard selectable, Apply keyboard accessible, badge count announced","Width not 280px or not fixed, input heights wrong, slider handles/track wrong sizes or values not displaying, checkboxes wrong height or not stacked, Apply wrong dimensions, badge wrong size or positioning off, colors hardcoded/wrong, keyboard controls broken, ARIA incomplete",Advanced
C17,Tier 3,Simple,Create custom button (no hardcoded colors),theming,Custom button with hooks,,,Button uses,"Button background and text use CSS variables (*), no hex colors",Button accessible,"Hardcoded colors, hooks missing",Advanced
C17,Tier 3,Moderate,"Create custom button : background , text . Button adapts when theme changes. No hardcoded hex colors",Complete theming with hooks,Custom button element,,,"Background uses accent-2, text uses on-accent, no hex","Button CSS uses var() background, var() text, adapts to theme","Button maintains accessibility in all themes, contrast meets WCAG","Uses hardcoded #colors, hooks not used, doesn't adapt to themes",Advanced
C17,Tier 3,Detailed,"Create a fully themed custom button component that exclusively uses SLDS design tokens and styling hooks. Background should use accent color tokens (level 2), text should use on-accent color token for proper contrast, border should use darker accent token (level 3). Padding should reference SLDS spacing tokens, font-size should use SLDS typography tokens, border-radius should use SLDS border-radius token. Hover state uses darker accent background (level 3). Focus state uses brand color for outline with appropriate offset, all from design tokens. Ensure zero hardcoded pixel or hex color values - everything must be SLDS tokens that adapt to theme changes",Complete themed component all hooks,Button with comprehensive hook usage,,,"Background accent-2, text on-accent, border accent-3, padding spacing-4 spacing-6, font-size typography-body-1, radius border-radius-small, hover accent-3, focus outline brand-base-2 offset standard size from SLDS, all hooks no hardcoded","background: var(), color: var(), border: standard size from SLDS solid var(), padding: var() var(), font-size: var(), border-radius: var(), hover background: var(), focus outline: standard size from SLDS solid var() offset standard size from SLDS, ZERO hardcoded px/hex/rgb values","Button accessible, color contrast maintained in light/dark themes via hooks, focus visible meets 3:1, keyboard accessible","Any hardcoded values (px, hex, rgb) used, hooks incomplete, hover/focus states hardcoded, doesn't adapt to theme changes, contrast fails in one theme",Advanced
C18,Tier 3,Simple,"Create login page: centered card with email, password, sign in button",Login page layout,Card with form inputs,"slds-card, slds-align_absolute-center",,Centered login card with form,"Login card centered on page with email, password, button",Form accessible,"Not centered, inputs missing",Advanced
C18,Tier 3,Moderate,"Login page: centered card 400px width, logo at top, email input, password input with show/hide toggle, Remember Me checkbox, Forgot Password link, Sign In button (full width), Create Account link",Complete login page with all elements,"Card with logo, inputs, toggle, checkbox, links, button","slds-card, slds-align_absolute-center, slds-button_brand",,"Card 400px centered, password toggle, Sign In full width","Centered card 400px, logo, email/password inputs, password toggle eye icon, Remember Me checkbox, Forgot Password link, Sign In button 100% width, Create Account link","Form keyboard navigable, password toggle accessible, all links/buttons keyboard accessible","Width wrong, not centered, password toggle missing, Sign In not full width",Advanced
C18,Tier 3,Detailed,"Create a complete login page with card centered in viewport using SLDS medium card sizing. Include logo at appropriate height centered at top of card. Email input should be full width at standard input height. Password input at standard height should include eye icon at appropriate size positioned right for show/hide toggle. Remember Me checkbox uses standard checkbox sizing with label. Forgot Password link should be right-aligned using link colors. Sign In button should be full width using brand styling at standard button height. Create Account link centered below. All inputs should use proper spacing between them from SLDS spacing scale. Card should use appropriate padding, border-radius from utilities, and shadow from elevation tokens",Complete login specification,Login card with all specs,"slds-card, slds-align_absolute-center, slds-button_brand, slds-form_stacked",,"Card 400×standard dimensions from SLDS centered, logo standard dimensions from SLDS, inputs 100% × standard size from SLDS, eye icon standard size from SLDS, checkbox standard size from SLDS, links blue, Sign In 100% × standard size from SLDS brand, spacing standard size from SLDS, padding standard size from SLDS, radius standard size from SLDS, shadow 4","Card width standard dimensions from SLDS height standard dimensions from SLDS centered viewport (flexbox or absolute), background white, border-radius standard size from SLDS, box-shadow elevation 4, logo height standard dimensions from SLDS margin-bottom standard size from SLDS, email/password width 100% height standard size from SLDS, password relative with eye icon standard size from SLDS absolute right, checkbox standard size from SLDS, Forgot link float right blue, Sign In width 100% height standard size from SLDS brand, Create link centered, input spacing standard size from SLDS between, card padding standard size from SLDS","Form keyboard navigable, email type=""email"", password type=""password/text"" toggle, eye button accessible with aria-label ""Show/Hide password"", checkbox labeled, links keyboard accessible","Card dimensions wrong, not centered, logo height wrong, input sizes wrong, eye icon wrong size or not toggling type, checkbox wrong size, Sign In not full width or wrong height, spacing/padding wrong, shadow missing, ARIA incomplete",Advanced
C19,Tier 3,Simple,"Create dashboard with 4 metric cards showing icon, value, label","Dashboard, metric cards",4 cards in grid,"slds-grid, slds-size_1-of-4",,4 equal metric cards in row,"4 metric cards in grid, each shows icon, value, label",Cards accessible,"Not 4 columns, cards missing elements",Advanced
C19,Tier 3,Moderate,"Dashboard with 4 metric cards in row: each shows icon 48px, metric value (large 2.5rem), label, trend indicator (arrow + percentage in green if positive, red if negative). Cards equal width/height",Dashboard with trends and colors,4 custom metric cards,"slds-grid, slds-size_1-of-4","utility:trending_up, utility:trending_down","Cards equal size, icons 48px, values 2.5rem, trends colored green/red","4 cards grid slds-size_1-of-4, icon 48px, value font-size 2.5rem, label, trend arrow + % green positive red negative, equal dimensions","Cards accessible, metrics announced with labels, trend direction clear","Cards unequal, icon/value sizes wrong, trends not colored correctly",Advanced
C19,Tier 3,Detailed,"Create a dashboard with 4 metric cards using SLDS grid sizing utilities for equal width (each card 25%). Cards should have equal height from design system with spacing between using SLDS gutter utilities. Each card includes icon at standard size with proper top margin, metric value using large heading size from SLDS typography scale with bold weight and center alignment, label using standard text size with neutral colors also centered, and trend indicator with icon at standard size plus percentage text (positive trends use success colors with up arrow, negative trends use error colors with down arrow). Cards use white background with border-radius from utilities and shadow from elevation tokens. Implement hover effect that increases shadow elevation using appropriate motion timing",Complete dashboard specification,4 custom metric cards,"slds-grid, slds-wrap, slds-size_1-of-4","utility:trending_up, utility:trending_down","Cards 25% each height standard dimensions from SLDS gaps standard size from SLDS, icon standard size from SLDS margin standard size from SLDS, value SLDS text size bold, label SLDS text size , trend: arrow standard size from SLDS + % SLDS text size (positive green up, negative red down), hover shadow 2→4 200ms","Grid slds-size_1-of-4 (25% each), height standard dimensions from SLDS uniform, gaps standard size from SLDS via slds-col_padded, background white, border-radius standard size from SLDS, box-shadow elevation 2, icon standard size from SLDS margin-top standard size from SLDS, value font-size SLDS text size weight 700 text-align center, label font-size SLDS text size color center, trend: arrow standard size from SLDS + text SLDS text size, positive: green utility:trending_up, negative: red utility:trending_down, hover: shadow elevation 4 transition 200ms","Cards keyboard accessible, metrics have labels, trend direction announced not color alone, hover has focus equivalent","Cards not 25% or unequal heights, gaps not 16px, icon/value/text sizes wrong, colors hardcoded/wrong, trend colors not conditional, arrows wrong or missing, hover transition wrong timing, focus state missing, trend indicated by color alone",Advanced
C20,Tier 3,Simple,Create modal with form (5 fields). Ensure focus trap and ESC closes,"Modal accessibility, focus trap",Modal with form and focus management,slds-modal,,"Modal has focus trap, ESC closes","Modal displays form with 5 fields, focus trapped, ESC closes",Modal fully accessible,"Focus not trapped, ESC not working",Advanced
C20,Tier 3,Moderate,"Modal with 5-field form. Focus management: opens → first input, Tab cycles within modal, ESC closes and returns focus. All fields have labels and validation",Modal with complete focus management,Modal with focus trap implementation,"slds-modal, slds-modal__container",,"Opens focus first input, Tab cycles, ESC returns focus, fields validated","Modal with 5 inputs, on open focus moves to first field, Tab cycles through modal only, ESC closes and returns focus to trigger, all fields labeled and validated","aria-labelledby, focus trap works, ESC handling, form validation accessible","Focus not moving, Tab escapes modal, ESC not returning focus, validation broken",Advanced
C20,Tier 3,Detailed,"Create a fully accessible modal containing a 5-field form. Implement comprehensive focus management: on modal open, focus programmatically moves to first input field, Tab key cycles through all inputs and close button within modal only using keyboard event listeners (focus trap), Shift+Tab reverses direction, ESC key closes modal and returns focus to the element that opened it (storing reference), backdrop click also closes modal. All form fields must have explicit labels with proper for attributes. Required fields should have appropriate ARIA required attribute. Validation on blur should set ARIA invalid attribute and link to error message using ARIA describedby. Modal container must have proper dialog role, ARIA labelledby pointing to title, and ARIA modal attribute set to true",Complete accessible modal specification,Modal with full accessibility implementation,"slds-modal, slds-modal__container, slds-modal__header, slds-modal__content, slds-modal__footer, slds-backdrop",utility:close,"Open → focus first input (JS), Tab cycles input1-5→close→input1 (trap), Shift+Tab reverses, ESC closes returns focus (store ref), backdrop closes, labels with for, required aria-required, validation aria-invalid + aria-describedby, role dialog aria-labelledby aria-modal","On open: element.focus() on first input, Tab keydown listener: if on last element (close X) focus input1, if on first input + Shift+Tab focus close X, ESC keydown: close modal, store opener reference, focus(opener), backdrop click: close modal, all labels have for matching input id, required inputs aria-required=""true"", blur validation: set aria-invalid=""true"", aria-describedby=""error-id"", modal container role=""dialog"", aria-labelledby=""title-id"", aria-modal=""true""","Modal announced as dialog, title announced via aria-labelledby, focus moves to first input, Tab cycles only within modal, Shift+Tab reverses, ESC closes announced, focus returns announced, required state announced, validation errors announced via aria-describedby","Focus not moving to first input, Tab escapes modal (no trap), Shift+Tab not working, ESC not closing or focus not returning, backdrop not closing, labels missing for attribute, aria-required missing, aria-invalid not set on validation, aria-describedby not linking, modal missing role/aria-labelledby/aria-modal",Advanced
C21,Tier 4,Simple,"Create sales path with 4 stages: Prospecting, Qualification, Proposal, Closed Won","Path component, stages",lightning-path,slds-path,,Path shows 4 stages,Path displays 4 stages in sequence,Path keyboard navigable,"Stages missing, not accessible",Intermediate
C21,Tier 4,Moderate,"Sales path 4 stages: Prospecting (complete with green checkmark), Qualification (current blue), Proposal and Closed Won (incomplete gray)",Path with stage states,lightning-path with stages config,"slds-path, slds-is-current, slds-is-complete",utility:check,"Prospecting complete green check, Qualification current blue, others gray","Path 4 stages, Prospecting slds-is-complete checkmark green, Qualification slds-is-current blue, others gray","Path announces current stage, keyboard navigable","Stage states wrong colors, checkmark missing",Intermediate
C21,Tier 4,Detailed,"Create a sales opportunity path component with 4 stages using standard SLDS path height. Prospecting stage shows completed state with success background colors and checkmark icon at standard size in contrasting color. Qualification stage shows current state with brand background colors and text using appropriate heading size with bold weight in contrasting color. Proposal and Closed Won stages show incomplete state with neutral background colors and text using standard size with neutral text colors. Clicking any stage opens a popover at standard SLDS popover width positioned below the stage. Current stage popover includes ""Mark Status as Complete"" button using brand styling at full width with standard button height",Complete path with popovers,Path with popover interactions,"slds-path, slds-is-complete, slds-is-current, slds-popover",utility:check,"Height standard size from SLDS, Prospecting: green check standard size from SLDS white, Qualification: blue text SLDS text size bold white, others: gray text SLDS text size , click opens popover standard dimensions from SLDS, current has Mark Complete button brand 100% × standard size from SLDS","Path height standard size from SLDS, Prospecting: background checkmark standard size from SLDS color white, Qualification: background font-size SLDS text size weight 700 color white, Proposal/Closed Won: background font-size SLDS text size color , click handler opens popover width standard dimensions from SLDS positioned below, current popover contains ""Mark Status as Complete"" button brand width 100% height standard size from SLDS","Path role=""list"", stages role=""listitem"", current aria-current=""step"", popover role=""dialog"" aria-labelledby, focus trap in popover, Mark Complete keyboard accessible","Height not 48px, colors hardcoded/wrong, checkmark not 16px, text sizes wrong, popover not 320px or wrong position, button missing or wrong size, aria-current missing, popover ARIA incomplete",Intermediate
C22,Tier 4,Simple,"Create Account record view form: Name, Industry, Phone (read-only)","Record form, read-only fields",lightning-record-view-form,,standard:account,Form shows 3 fields read-only,Form displays 3 Account fields not editable,Form fields accessible,"Fields editable, wrong fields",Intermediate
C22,Tier 4,Moderate,"Account record form: Name, Industry, Phone (tel link), Annual Revenue (currency). 2-column layout. Account icon 48px in header",Record form with formatting and layout,lightning-record-view-form with output fields,"slds-form, slds-size_1-of-2",standard:account,"Icon 48px, 4 fields 2 columns, Phone tel link, Revenue currency","Form 4 fields 2-column layout, Account icon 48px header, Phone tel: link, Revenue currency format","Fields labeled, read-only indicated, Phone link accessible","Not 2 columns, icon missing/wrong size, Phone not link, Revenue not currency",Intermediate
C22,Tier 4,Detailed,"Create an Account record view form with proper structure. Header displays Account icon at standard size next to record name using SLDS heading size with bold weight. Use two-column layout with equal widths. Column 1 shows Name (text value), Industry (picklist value), and Phone (formatted as clickable tel: link using link colors). Column 2 shows Annual Revenue (formatted as currency), Number of Employees (formatted with comma separators), and Website (formatted as clickable URL link using link colors). Field labels should use smaller text size with neutral colors. Field values should use standard text size. Form should be read-only using appropriate form component",Complete record form,lightning-record-view-form with lightning-output-field,"slds-form, slds-form_compound, slds-size_1-of-2",standard:account,"Icon standard size from SLDS name SLDS text size bold, 2 cols 50:50, Col1: Name Industry Phone(tel: link blue), Col2: Revenue($X.XX) Employees(commas) Website(link blue), labels SLDS text size , values SLDS text size","Header: icon standard size from SLDS, name font-size SLDS text size weight 700, layout slds-size_1-of-2 (50:50), Phone <a href=""tel:""> blue, Revenue currency format, Employees toLocaleString() for commas, Website <a href> blue, labels font-size SLDS text size color , values font-size SLDS text size color","Form semantic structure, Phone link announces ""telephone"", Website announces ""link"", read-only state clear, keyboard navigable","Icon not 48px, name not 1.5rem/bold, not 50:50 columns, Phone not tel: link, Revenue not currency, Employees no commas, Website not link, label/value sizes wrong, colors hardcoded",Intermediate
C23,Tier 4,Simple,"Create pill container with 5 selected tags, each has remove button","Pills, removal interaction",lightning-pill OR slds-pill,slds-pill,utility:close,5 pills with remove X,"Container shows 5 pills, each has X remove button",Pills keyboard removable,"Remove buttons missing, not keyboard accessible",Intermediate
C23,Tier 4,Moderate,"Pill container with 5 selected tags. Each pill: tag text, remove X button 16px. Pills display inline with 4px spacing. Clicking X removes pill",Pills with spacing and removal,Multiple lightning-pill OR custom pills,"slds-pill, slds-pill__remove",utility:close,"5 pills inline 4px spacing, X 16px, click removes","5 pills inline with 4px horizontal margin, remove button 16px, clicking X removes pill from DOM","Each pill keyboard removable with Enter/Space, removal announced","Spacing wrong, X not 16px, removal not working, keyboard broken",Intermediate
C23,Tier 4,Detailed,"Create a pill container displaying 5 selected tags. Each pill should use standard SLDS pill height with appropriate padding from spacing scale, text at standard size, and remove button at appropriate icon size with proper spacing from text. Pills should use surface background colors with border-radius from design system and hover background state. Display pills inline with appropriate horizontal spacing between each using SLDS spacing utilities. Clicking remove button triggers fade-out animation using appropriate motion timing, removes pill from DOM, and announces removal to screen readers. Each pill should be keyboard focusable with Enter and Space keys triggering removal",Complete pill specification,Custom pill components,"slds-pill, slds-pill__remove",utility:close,"Pills: standard size from SLDS height, standard size from SLDS padding, text SLDS text size, X standard size from SLDS margin standard size from SLDS, bg , radius standard size from SLDS, hover , inline-flex standard size from SLDS spacing, click X: fade 200ms remove announce, Enter/Space removes","Pills: height standard size from SLDS, padding standard size from SLDS horizontal, font-size SLDS text size, remove button standard size from SLDS size margin-left standard size from SLDS, background , border-radius standard size from SLDS, hover background , display inline-flex margin-right standard size from SLDS, remove handler: opacity 0 transition 200ms then remove(), aria-live announcement ""Tag removed"", pills focusable, Enter/Space on remove triggers removal","Pills keyboard focusable, remove button accessible with Enter/Space, removal announced via aria-live, focus moves to next pill after removal","Height not 32px, padding wrong, text size wrong, X not 20px or margin wrong, bg colors hardcoded/wrong, radius not 16px, spacing not 8px, fade animation missing/wrong timing, removal not announced, keyboard not working",Intermediate
C24,Tier 4,Simple,Create progress bar showing 65% completion,"Progress bar, percentage",lightning-progress-bar,slds-progress-bar,,Bar shows 65% filled,Progress bar displays 65% filled with label,Progress announced,"Percentage wrong, not announced",Intermediate
C24,Tier 4,Moderate,"Progress bar showing 65% completion. Label above ""Progress: 65%"", bar 100% width, 8px height, filled portion blue, remaining gray",Progress bar with label and colors,lightning-progress-bar OR custom,"slds-progress-bar, slds-progress-bar__value",,"Label shows 65%, bar 100% × 8px, filled blue, remaining gray","Label ""Progress: 65%"" above, bar width 100% height 8px, filled 65% blue, remaining 35% gray","Progress value announced, labeled","Label missing, bar dimensions wrong, colors wrong",Intermediate
C24,Tier 4,Detailed,"Create a progress bar component with label ""Progress: 65%"" using standard text size with bold weight positioned above the bar. Progress bar should be full width with height from SLDS design system and border-radius from utilities. Filled portion at 65% width uses brand colors while remaining 35% uses neutral colors from the design system. Percentage text ""65%"" should use smaller text size in contrasting color, centered on the filled portion. Bar container must have proper progressbar role with ARIA valuenow set to 65, valuemin set to 0, and valuemax set to 100",Complete progress bar,Custom progress bar with ARIA,"slds-progress-bar, slds-progress-bar__value",,"Label ""Progress: 65%"" SLDS text size bold, bar 100% × standard size from SLDS radius standard size from SLDS, filled 65% , remaining 35% , ""65%"" SLDS text size white centered, role progressbar aria-valuenow 65 min 0 max 100","Label font-size SLDS text size weight 700 ""Progress: 65%"", bar width 100% height standard size from SLDS border-radius standard size from SLDS, filled div width 65% background , remaining background , percentage text font-size SLDS text size color white position absolute center of filled, container role=""progressbar"" aria-valuenow=""65"" aria-valuemin=""0"" aria-valuemax=""100""","Progress value announced via aria-valuenow, label associated, percentage change announced","Label wrong size/weight, bar dimensions wrong, filled width not 65%, colors hardcoded/wrong, radius missing, percentage text wrong size or not centered, role/ARIA missing",Intermediate
C25,Tier 4,Simple,"Create file upload accepting images (JPG, PNG) only","File upload, restrictions",lightning-file-upload,,utility:upload,Upload accepts only JPG/PNG,"File upload restricts to .jpg, .png",Upload keyboard accessible,Wrong file types accepted,Intermediate
C25,Tier 4,Moderate,"File upload for images (JPG, PNG, max 5MB). Shows icon, ""Choose Files"" button, accepts drag-drop. After select: shows filename, size, remove button",File upload with drag-drop and preview,lightning-file-upload OR custom,,"utility:upload, utility:close","Upload icon, button, drag-drop, JPG/PNG max 5MB, shows filename/size/remove","Upload area with icon, button, accept="".jpg,.png"", drag-drop, max 5MB validation, selected shows filename, size, remove","Upload keyboard accessible, drag-drop has keyboard alternative, validation errors announced","File type validation missing, no drag-drop, preview missing, size not validated",Intermediate
C25,Tier 4,Detailed,"Create a file upload area using standard SLDS dropzone dimensions with dashed border style from border utilities and border-radius from design system. Center an upload icon at standard size using neutral colors with text ""Drag files here or"" below, followed by ""Choose Files"" button using brand styling at appropriate button dimensions. Accept only .jpg and .png files with maximum size of 5MB. During drag state, border should become solid using brand colors with brand tint background. After file selection, replace upload area with file card showing thumbnail at standard size, filename using standard text size, file size using smaller text with neutral colors, and remove button at appropriate icon size. For validation errors, border should use error colors with error message text below using feedback error styling",Complete file upload,Custom file upload with all states,,"utility:upload, utility:close","Area 400×standard dimensions from SLDS border standard size from SLDS dashed radius standard size from SLDS, icon standard size from SLDS gray, text + button 120×standard size from SLDS brand, accept .jpg,.png max 5MB, drag: border solid bg , selected: thumbnail standard size from SLDS filename SLDS text size size SLDS text size remove standard size from SLDS, error: border red text below","Drop area width standard dimensions from SLDS height standard dimensions from SLDS border standard size from SLDS dashed border-radius standard size from SLDS, icon standard size from SLDS color gray centered, text + button brand width standard dimensions from SLDS height standard size from SLDS, input accept="".jpg,.png"", dragover: border solid standard size from SLDS background , file validation: if size > 5MB show error, selected: thumbnail standard size from SLDS, filename font-size SLDS text size, size SLDS text size color gray, remove button standard size from SLDS, error: border standard size from SLDS solid , error message below red","Upload keyboard accessible via button, drag-drop has keyboard alternative (button), file validation errors announced, filename announced when selected, remove keyboard accessible","Area dimensions wrong, border wrong style/color, icon wrong size, button wrong size, file type validation missing, size validation missing, drag state wrong colors, thumbnail wrong size, text sizes wrong, remove not 24px, error state missing, ARIA incomplete",Intermediate
C26,Tier 4,Simple,Create multi-select dropdown for choosing multiple categories,"Multi-select, dropdown",lightning-dual-listbox OR combobox multi-select,slds-combobox,,Multiple selections possible,"Dropdown allows multiple selections, shows selected",Multi-select announced,"Only single select, selections not showing",Advanced
C26,Tier 4,Moderate,"Multi-select dropdown with 8 category options. Selected show as pills below input. Dropdown 300px width, max-height 250px scroll. Pills have remove X",Multi-select with pills,Custom combobox OR dual-listbox,"slds-combobox, slds-listbox, slds-pill","utility:down, utility:close","Dropdown 300px max-height 250px scroll, selected as pills with X below","8 options, dropdown width 300px max-height 250px scroll, multi-select enabled, selected render as pills below with remove X","aria-multiselectable, selected announced, pills removable, dropdown keyboard navigable","Not multi-select, no pills, dropdown dimensions wrong, keyboard broken",Advanced
C26,Tier 4,Detailed,"Create a multi-select combobox using standard SLDS input dimensions. Input should include down chevron icon at appropriate size positioned right. Typing filters available options with minimum 2 characters required. Dropdown displays at input width with maximum height from design system allowing scroll. Each option uses standard list item height with hover background state and selected background state. Selected options show checkmark icon at standard size positioned left. Below the input, selected items render as pills using standard pill height with appropriate padding, text at standard size, and remove button at appropriate icon size with proper spacing between pills. Enforce maximum of 10 selections",Complete multi-select combobox,Custom multi-select component,"slds-combobox, slds-listbox, slds-listbox__option, slds-pill","utility:down, utility:check, utility:close","Input standard dimensions from SLDS × standard size from SLDS chevron standard size from SLDS right, dropdown standard dimensions from SLDS max-height standard dimensions from SLDS, options standard size from SLDS hover selected check standard size from SLDS, pills standard size from SLDS standard size from SLDS padding text SLDS text size X standard size from SLDS spacing standard size from SLDS, max 10","Input width standard dimensions from SLDS height standard size from SLDS, chevron standard size from SLDS absolute right, typing filters list, dropdown width standard dimensions from SLDS max-height standard dimensions from SLDS overflow-y auto, options height standard size from SLDS hover background , selected background checkmark standard size from SLDS margin-left standard size from SLDS, pills below: height standard size from SLDS padding standard size from SLDS horizontal font-size SLDS text size remove standard size from SLDS margin-right standard size from SLDS between pills, max selections 10 enforced","aria-multiselectable=""true"", aria-expanded on dropdown state, arrow keys navigate options, Space toggles selection, Enter closes, selected count announced, pills keyboard removable, max reached announced","Width/height wrong, chevron not 16px, filtering not working, dropdown dimensions wrong, option heights wrong, hover/selected colors hardcoded/wrong, checkmark missing or wrong size, pill dimensions wrong, remove not 18px, spacing wrong, max 10 not enforced, ARIA incomplete",Advanced
C27,Tier 4,Simple,Create tree view showing folder structure with expand/collapse,"Tree structure, hierarchical data",lightning-tree OR custom,slds-tree,utility:chevronright,"Tree shows nested items, expandable","Tree displays hierarchical structure, nodes expand/collapse",Tree keyboard navigable,"Nesting not showing, expand broken",Advanced
C27,Tier 4,Moderate,"File browser tree: 3 levels (root folders, subfolders, files). Folders have chevron icons, expand on click. Indentation 24px per level. File icons for items",Tree with icons and indentation,Custom tree component,"slds-tree, slds-tree__item","utility:chevronright, utility:chevrondown, utility:file","3 levels, chevrons on folders, indent 24px per level, file icons","Tree 3 levels deep, folders expandable chevron icon, indentation 24px per level, files have file icon","Tree keyboard navigable, expansion announced, levels clear","Indentation wrong, chevrons missing, file icons missing",Advanced
C27,Tier 4,Detailed,"Create a file tree structure with proper indentation using SLDS spacing scale multiplied by level depth (level 1 has no indent, level 2 uses one spacing unit, level 3 uses two spacing units). Tree items use standard height from design system. Each item displays icon at standard size (chevron for expandable folders, file icon for files) with proper spacing from text. Folder chevron icons rotate 90 degrees on expand using appropriate motion timing. Expanded folders display children with connecting lines using border utility with neutral colors running vertically from parent to last child. Selected item uses selection background color with brand text color. Tree should support 3 levels of nesting",Complete tree specification,Custom tree with lines and animations,"slds-tree, slds-tree__item, slds-is-expanded","utility:chevronright, utility:chevrondown, utility:file","Indent standard size from SLDS per level (0/24/48), items standard size from SLDS height, icons standard size from SLDS gap standard size from SLDS text SLDS text size, chevron rotates 90° 200ms, lines standard size from SLDS vertical parent-to-last-child, selected: bg text","Indentation: level 1 margin-left 0, level 2 standard size from SLDS, level 3 standard size from SLDS, items height standard size from SLDS, icon standard size from SLDS margin-right standard size from SLDS, text font-size SLDS text size, folder chevron rotate 90deg transition 200ms on expand, connecting lines standard size from SLDS border-left from parent to last child, selected: background color","Tree role=""tree"", items role=""treeitem"", folders aria-expanded, arrow keys navigate, Enter expands/collapses, selection announced, level announced","Indentation not multiples of 24px, item heights wrong, icons not 20px or gap wrong, text size wrong, chevron not rotating or transition wrong, connecting lines missing/wrong, selected colors hardcoded/wrong, roles/ARIA missing",Advanced
C28,Tier 4,Simple,Create lookup field for searching and selecting an Account,"Lookup pattern, search",lightning-record-picker OR custom,slds-combobox,standard:account,Lookup searches and selects record,"Lookup searches Account records, selects one",Lookup keyboard accessible,"Search not working, selection broken",Advanced
C28,Tier 4,Moderate,"Account lookup: search input with icon, dropdown shows matching Accounts with icon and name, selecting shows as pill with remove. Minimum 2 characters to search",Lookup with search and pill,Custom lookup component,"slds-combobox, slds-pill","utility:search, standard:account, utility:close","Search input, dropdown matches, selected as pill with remove, min 2 chars","Search input with icon, typing filters Accounts (min 2 chars), dropdown shows icon+name, selecting shows pill with remove X","Search keyboard accessible, min length announced, results announced, selection announced, pill removable","Min 2 chars not enforced, results not filtering, selected not showing as pill",Advanced
